DATA_MC|KOD_WOJ|NAME|PLEC|WIEK|KOD_UPRAWNIENIA|LICZBA
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|27|C1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|27|A|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|27|A2|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|27|B1|35
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|27|AM|35
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|27|B|35
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|27|A1|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|27|C|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|28|C1+E|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|28|C+E|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|28|AM|25
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|28|C|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|28|B+E|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|28|B1|26
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|28|B|25
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|28|T|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|28|C1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|29|A|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|29|A1|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|29|AM|21
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|29|A2|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|29|B1|22
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|29|B|21
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|30|A2|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|30|A1|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|30|B|30
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|30|B1|30
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|30|C1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|30|A|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|30|C|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|30|AM|30
